65258,181625,0
102532,181625,0
93629,181625,0
104657,181625,10
223231,181625,8
39063,181625,0
197775,181625,0
72742,181625,8
208568,181625,0
240035,181625,8
48989,181625,0
182393,181625,0
234623,181625,0
236442,181625,0
183187,181625,0
224764,181625,0
278771,181625,0
162738,181625,0
135673,181625,8
112026,181625,0
227520,181625,0
86802,181625,0
85426,181625,0
207494,181625,9
201641,181625,0
75793,181625,0
56447,181625,0
38281,181625,10
118654,181625,9
55973,181625,8
90726,181625,0
123961,181625,0
125892,181625,10
46197,181625,10
165793,181625,7
154409,181625,7
159380,181625,0
76818,181625,0
118650,181625,7
1848,181625,8
204864,181625,10
8955,181625,9
5783,181625,8
119505,181625,0
80453,181625,9
80198,181625,10
154529,181625,8
187256,181625,10
225887,181625,0
88976,181625,0
24539,181625,0
236948,181625,0
25966,181625,7
103790,181625,7
219729,181625,0
60244,181625,9
176875,181625,0
6532,181625,9
207192,181625,10
20834,181625,5
35859,181625,0
234828,181625,10
140223,181625,9
3100,181625,0
11676,181625,9
80642,181625,8
35836,181625,5
226564,181625,10
149483,181625,9
126695,181625,10
105664,181625,10
67337,181625,9
184891,181625,0
165319,181625,8
95903,181625,0
155147,181625,0
22975,181625,0
174179,181625,10
196878,181625,0
139376,181625,10
134434,181625,8
180651,181625,9
108854,181625,10
127826,181625,9
41841,181625,0
218490,181625,8
3167,181625,10
145109,181625,10
59971,181625,9
115435,181625,0
188583,181625,8
66487,181625,9
167187,181625,10
213452,181625,0
5151,181625,10
95010,181625,0
12538,181625,0
184299,181625,10
102642,181625,7
235392,181625,0
214876,181625,10
94209,181625,0
126388,181625,10
50694,181625,0
150890,181625,9
158232,181625,9
238321,181625,0
28177,181625,10
193499,181625,0
91113,181625,9
187810,181625,0
210852,181625,10
88937,181625,8
55492,181625,0
199616,181625,9
101141,181625,0
224646,181625,0
223873,181625,10
171986,181625,9
181376,181625,0
55187,181625,10
219208,181625,10
199209,181625,0
30495,181625,10
43116,181625,0
69684,181625,8
1903,181625,10
163202,181625,10
225763,181625,0
209142,181625,9
214654,181625,8
46443,181625,9
235876,181625,10
77536,181625,9
35081,181625,10
84479,181625,10
11601,181625,0
15479,181625,10
110973,181625,0
59172,181625,0
238889,181625,10
231993,181625,10
63625,181625,10
53575,181625,9
183015,181625,3
231612,181625,9
74893,181625,10
6251,181625,0
205374,181625,9
187145,181625,0
136551,181625,9
25533,181625,0
209178,181625,9
93047,38883,0
133846,38883,9
222292,38883,7
142121,38883,7
237397,38883,0
49460,38883,9
11601,38883,0
25409,38883,0
115435,38883,9
59612,38883,7
17726,38883,0
205867,38883,7
170493,38883,5
190459,38883,0
135149,38883,7
169266,38883,7
805,38883,7
25822,38883,8
92156,38883,8
34752,38883,3
139586,38883,8
228998,38883,0
70541,38883,8
53174,38883,0
25924,38883,7
115847,38883,9
89602,38883,0
238120,38883,0
138220,38883,10
146348,38883,10
53564,38883,9
105308,38883,0
35008,38883,6
8735,38883,0
117700,38883,9
183651,38883,0
160571,38883,8
86837,38883,8
151107,38883,0
189855,38883,9
75149,38883,0
128434,38883,0
224349,38883,0
128917,38883,0
6543,38883,0
142623,38883,8
234623,38883,0
277427,38883,0
137280,38883,0
11676,38883,0
223238,38883,8
152579,38883,0
232456,38883,8
128835,38883,0
114988,38883,7
23699,38883,8
158569,38883,8
111174,38883,0
203265,38883,0
